No.,State,km,sq mi,Census Region,region
30,alabama,"135,767","52,420",East South Central,south
1,alaska,"1,723,336","665,384",Pacific,west
6,arizona,"295,233","113,990",Mountain,west
29,arkansas,"137,730","53,178",West South Central,west
3,california,"423,968","163,695",Pacific,west
8,colorado,"269,602","104,094",Mountain,west
48,connecticut,"14,356","5,543",New England,north
49,delaware,"6,446","2,489",South Atlantic,south
22,florida,"170,312","65,758",South Atlantic,south
24,georgia,"153,910","59,425",South Atlantic,south
43,hawaii,"28,313","10,932",Pacific,west
14,idaho,"216,443","83,569",Mountain,west
25,illinois,"149,994","57,913",East North Central,north
38,indiana,"94,327","36,420",East North Central,north
26,iowa,"145,744","56,272",West North Central,north
15,kansas,"213,099","82,278",West North Central,north
37,kentucky,"104,656","40,408",East South Central,south
31,louisiana,"135,658","52,378",West South Central,west
39,maine,"91,634","35,380",New England,north
42,maryland,"32,131","12,406",South Atlantic,south
44,massachusetts,"27,335","10,554",New England,north
11,michigan,"250,485","96,713",East North Central,north
12,minnesota,"225,163","86,936",West North Central,north
32,mississippi,"125,438","48,432",East South Central,south
21,missouri,"180,540","69,707",West North Central,north
4,montana,"380,832","147,040",Mountain,west
16,nebraska,"200,330","77,348",West North Central,north
7,nevada,"286,380","110,572",Mountain,west
46,new hampshire,"24,214","9,349",New England,north
47,new jersey,"22,590","8,722",Middle Atlantic,north
5,new mexico,"314,917","121,590",Mountain,west
27,new york,"141,297","54,555",Middle Atlantic,north
28,north carolina,"139,390","53,819",South Atlantic,south
19,north dakota,"183,107","70,698",West North Central,north
34,ohio,"116,096","44,825",East North Central,north
20,oklahoma,"181,038","69,899",West South Central,west
9,oregon,"254,800","98,379",Pacific,west
33,pennsylvania,"119,279","46,054",Middle Atlantic,north
50,rhode island,"3,999","1,544",New England,north
40,south carolina,"82,931","32,020",South Atlantic,south
17,south dakota,"199,730","77,116",West North Central,north
36,tennessee,"109,152","42,144",East South Central,south
2,texas,"695,660","268,596",West South Central,west
13,utah,"219,882","84,897",Mountain,west
45,vermont,"24,905","9,616",New England,north
35,virginia,"110,787","42,775",South Atlantic,south
18,washington,"184,661","71,298",Pacific,west
41,west virginia,"62,755","24,230",South Atlantic,south
23,wisconsin,"169,634","65,496",East North Central,north
10,wyoming,"253,334","97,813",Mountain,west
